name;count;url;status;build
ColorlibHQ/AdminLTE;1;https://github.com/ColorlibHQ/AdminLTE;discarded;null
serverless/serverless;6;https://github.com/serverless/serverless;discarded;null
huggingface/transformers;7;https://github.com/huggingface/transformers;discarded;null
serverless/serverless;6;https://github.com/serverless/serverless;discarded;null
nylas/nylas-mail;1;https://github.com/nylas/nylas-mail;discarded;null
home-assistant/core;2;https://github.com/home-assistant/core;discarded;null
DIYgod/RSSHub;1;https://github.com/DIYgod/RSSHub;accepted;successful
sequelize/sequelize;1;https://github.com/sequelize/sequelize;discarded;null
goldbergyoni/nodebestpractices;5;https://github.com/goldbergyoni/nodebestpractices;accepted;successful;require-extra-steps
quantopian/zipline;2;https://github.com/quantopian/zipline;discarded;null
nicolargo/glances;4;https://github.com/nicolargo/glances;accepted;successful
kevana/ui-for-docker;3;https://github.com/kevana/ui-for-docker;discarded;null
remy/nodemon;1;https://github.com/remy/nodemon;discarded;null
mozilla/pdf.js;1;https://github.com/mozilla/pdf.js;discarded;null
atom/atom;1;https://github.com/atom/atom;discarded;null
deepfakes/faceswap;2;https://github.com/deepfakes/faceswap;discarded;null
localstack/localstack;4;https://github.com/localstack/localstack;accepted;failed-build
freeCodeCamp/freeCodeCamp;2;https://github.com/freeCodeCamp/freeCodeCamp;accepted;failed-build
apachecn/AiLearning;1;https://github.com/apachecn/AiLearning;discarded;null
0xAX/linux-insides;1;https://github.com/0xAX/linux-insides;discarded;null
testerSunshine/12306;1;https://github.com/testerSunshine/12306;discarded;null
apache/superset;5;https://github.com/apache/superset;accepted;failed-build
RocketChat/Rocket.Chat;4;https://github.com/RocketChat/Rocket.Chat;discarded;null
facebook/react-native;1;https://github.com/facebook/react-native;discarded;null
tiangolo/fastapi;3;https://github.com/tiangolo/fastapi;discarded;null
pandas-dev/pandas;1;https://github.com/pandas-dev/pandas;accepted;failed-build
socketio/socket.io;8;https://github.com/socketio/socket.io;discarded;null
ansible/ansible;2;https://github.com/ansible/ansible;discarded;null
donnemartin/data-science-ipython-notebooks;1;https://github.com/donnemartin/data-science-ipython-notebooks;discarded;null
codemirror/CodeMirror;1;https://github.com/codemirror/CodeMirror;discarded;null
pypa/pipenv;1;https://github.com/pypa/pipenv;accepted;successful
openai/gym;1;https://github.com/openai/gym;accepted;failed-build
Unitech/pm2;8;https://github.com/Unitech/pm2;discarded;null
chubin/cheat.sh;1;https://github.com/chubin/cheat.sh;accepted;failed-build
gatsbyjs/gatsby;5;https://github.com/gatsbyjs/gatsby;discarded;null
ageitgey/face_recognition;2;https://github.com/ageitgey/face_recognition;accepted;successful
vercel/next.js;2;https://github.com/vercel/next.js;discarded;null
mitmproxy/mitmproxy;2;https://github.com/mitmproxy/mitmproxy;discarded;null
psf/black;3;https://github.com/psf/black;accepted;failed-build
portainer/portainer;4;https://github.com/portainer/portainer;discarded;null
nginx-proxy/nginx-proxy;4;https://github.com/nginx-proxy/nginx-proxy;discarded;null
bokeh/bokeh;5;https://github.com/bokeh/bokeh;accepted;failed-build
parse-community/parse-server;1;https://github.com/parse-community/parse-server;accepted;successful
transloadit/uppy;2;https://github.com/transloadit/uppy;discarded;null
tornadoweb/tornado;1;https://github.com/tornadoweb/tornado;discarded;null
jhipster/generator-jhipster;5;https://github.com/jhipster/generator-jhipster;discarded;null
SirVer/ultisnips;2;https://github.com/SirVer/ultisnips;accepted;failed-build
nodejs/node;1;https://github.com/nodejs/node;discarded;null
yarnpkg/yarn;1;https://github.com/yarnpkg/yarn;discarded;null
BobAnkh/auto-generate-changelog;1;https://github.com/BobAnkh/auto-generate-changelog;accepted;successful
barrucadu/bookdb;1;https://github.com/barrucadu/bookdb;accepted;successful
cookiecutter-flask/cookiecutter-flask;1;https://github.com/cookiecutter-flask/cookiecutter-flask;accepted;successful
barrucadu/bookdb;1;https://github.com/barrucadu/bookdb;accepted;successful
backtick-se/cowait;1;https://github.com/backtick-se/cowait;accepted;successful
adriankumpf/findmeaflat;1;https://github.com/adriankumpf/findmeaflat;accepted;successful
juice-shop/juice-shop-ctf;1;https://github.com/juice-shop/juice-shop-ctf;accepted;successful
bkimminich/juice-shop;1;https://github.com/bkimminich/juice-shop;accepted;successful
codeforkansascity/meep;1;https://github.com/codeforkansascity/meep;accepted;successful
CorralPeltzer/newTrackon;1;https://github.com/CorralPeltzer/newTrackon;accepted;successful
sherlock-project/sherlock;1;https://github.com/sherlock-project/sherlock;accepted;successful
kiwigrid/k8s-sidecar;1;https://github.com/kiwigrid/k8s-sidecar;accepted;successful
mrooding/gitlab-semantic-versioning;1;https://github.com/mrooding/gitlab-semantic-versioning;accepted;successful
asbjornenge/linuxkit-logger;1;https://github.com/asbjornenge/linuxkit-logger;accepted;successful
rafipiccolo/dockercron;1;https://github.com/rafipiccolo/dockercron;accepted;successful
MarcCoru/sampleo;1;https://github.com/MarcCoru/sampleo;accepted;successful
docker/compose;15;https://github.com/docker/compose;accepted;failed-build
ranger/ranger;1;https://github.com/ranger/ranger;accepted;successful
locustio/locust;1;https://github.com/locustio/locust;accepted;successful
getredash/redash;2;https://github.com/getredash/redash;discarded;null
imWildCat/scylla;2;https://github.com/imWildCat/scylla;discarded;null
immerjs/immer;1;https://github.com/immerjs/immer;accepted;successful
microsoft/monaco-editor;2;https://github.com/microsoft/monaco-editor;discarded;null
withspectrum/spectrum/api;7;https://github.com/withspectrum/spectrum;accepted;successful
withspectrum/spectrum/athena;7;https://github.com/withspectrum/spectrum;accepted;successful
withspectrum/spectrum/chronos;7;https://github.com/withspectrum/spectrum;accepted;successful
withspectrum/spectrum/hermes;7;https://github.com/withspectrum/spectrum;accepted;successful
withspectrum/spectrum/hyperion;7;https://github.com/withspectrum/spectrum;accepted;successful
withspectrum/spectrum/mercury;7;https://github.com/withspectrum/spectrum;accepted;successful
withspectrum/spectrum/vulcan;7;https://github.com/withspectrum/spectrum;accepted;successful
alievk/avatarify-python;1;https://github.com/alievk/avatarify-python;discarded;null
sahat/hackathon-starter;1;https://github.com/sahat/hackathon-starter;accepted;successful
certbot/certbot;6;https://github.com/certbot/certbot;discarded;null
tensorflow/models;3;https://github.com/tensorflow/models;discarded;null
naptha/tesseract.js;1;https://github.com/naptha/tesseract.js;discarded;null
ycm-core/YouCompleteMe;2;https://github.com/ycm-core/YouCompleteMe;discarded;null
RocketMap/RocketMap;2;https://github.com/RocketMap/RocketMap;discarded;null
ajaxorg/ace;3;https://github.com/ajaxorg/ace;discarded;null
nuxt/nuxt.js;1;https://github.com/nuxt/nuxt.js;discarded;null
GoogleChromeLabs/sw-precache;1;https://github.com/GoogleChromeLabs/sw-precache;null;null
benweet/stackedit;1;https://github.com/benweet/stackedit;null;null
deezer/spleeter;7;https://github.com/deezer/spleeter;null;null
simple-icons/simple-icons;1;https://github.com/simple-icons/simple-icons;null;null
chubin/wttr.in;1;https://github.com/chubin/wttr.in;null;null
malwaredllc/byob;6;https://github.com/malwaredllc/byob;discarded;null
NodeBB/NodeBB;1;https://github.com/NodeBB/NodeBB;null;null
trailofbits/algo;1;https://github.com/trailofbits/algo;null;null
amark/gun;1;https://github.com/amark/gun;null;null
scrapinghub/portia;1;https://github.com/scrapinghub/portia;null;null
bigbluebutton/bigbluebutton;16;https://github.com/bigbluebutton/bigbluebutton;null;null
ansible/ansible-container;5;https://github.com/ansible/ansible-container;null;null
badges/shields;2;https://github.com/badges/shields;null;null
polyaxon/polyaxon;25;https://github.com/polyaxon/polyaxon;null;null
HelloZeroNet/ZeroNet;2;https://github.com/HelloZeroNet/ZeroNet;null;null
ansible/awx;7;https://github.com/ansible/awx;null;null
sdelements/lets-chat;1;https://github.com/sdelements/lets-chat;null;null
jhao104/proxy_pool;1;https://github.com/jhao104/proxy_pool;null;null
j3ssie/Osmedeus;1;https://github.com/j3ssie/Osmedeus;null;null
DevExpress/testcafe;2;https://github.com/DevExpress/testcafe;null;null
facebook/prophet;1;https://github.com/facebook/prophet;null;null
open-mmlab/mmdetection;2;https://github.com/open-mmlab/mmdetection;null;null
twintproject/twint;1;https://github.com/twintproject/twint;null;null
openstf/stf;4;https://github.com/openstf/stf;null;null
liftoff/GateOne;1;https://github.com/liftoff/GateOne;null;null
RobinLinus/snapdrop;1;https://github.com/RobinLinus/snapdrop;null;null
schollz/howmanypeoplearearound;1;https://github.com/schollz/howmanypeoplearearound;null;null
facebookresearch/Detectron;1;https://github.com/facebookresearch/Detectron;null;null
streamaserver/streama;2;https://github.com/streamaserver/streama;null;null
horovod/horovod;5;https://github.com/horovod/horovod;null;null
numpy/numpy;2;https://github.com/numpy/numpy;null;null
mailpile/Mailpile;3;https://github.com/mailpile/Mailpile;null;null
